SYMBOL,COMPANY,SUBJECT,DETAILS,RECIEPT,ATTACHMENT,FILE_PATH,TEXT_PATH
ITC,ITC Limited,Loss/Duplicate-Share Certificate-XBRL,ITC LIMITED has informed the Exchange about Loss of share certificates,2024-02-16 17:36:41,https://nsearchives.nseindia.com/corporate/xbrl/ITC_16022024173641_LOSS_OF_SHARE_1057236_16022024053640_WEB.xml,./RE_Download\ITC_16022024173641_LOSS_OF_SHARE_1057236_16022024053640_WEB.xml,./RE_Download\ITC_16022024173641_LOSS_OF_SHARE_1057236_16022024053640_WEB.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2024-02-16 17:34:42,https://nsearchives.nseindia.com/corporate/ITC_16022024173442_loss_16feb2024_signed.pdf,./RE_Download\ITC_16022024173442_loss_16feb2024_signed.pdf,./RE_Download\ITC_16022024173442_loss_16feb2024_signed.txt
ITC,ITC Limited,Alteration Of Capital and Fund Raising-XBRL,ITC LIMITED has informed the Exchange regarding Allotment of Securities,2024-02-15 16:26:36,https://nsearchives.nseindia.com/corporate/xbrl/ITC_15022024162636_ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1056636_15022024042635_WEB.xml,./RE_Download\ITC_15022024162636_ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1056636_15022024042635_WEB.xml,./RE_Download\ITC_15022024162636_ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1056636_15022024042635_WEB.txt
ITC,ITC Limited,ESOP/ESOS/ESPS,ITC Limited has informed the Exchange regarding Allotment of 1519550  Shares.,2024-02-15 16:22:58,https://nsearchives.nseindia.com/corporate/ITC_15022024162258_AllotmentLetter.pdf,./RE_Download\ITC_15022024162258_AllotmentLetter.pdf,./RE_Download\ITC_15022024162258_AllotmentLetter.txt
ITC,ITC Limited,Notice Of Shareholders Meetings-XBRL,ITC Limited has informed the Exchange about Notice of Shareholders Meeting for Postal Ballot,2024-02-14 14:08:51,https://nsearchives.nseindia.com/corporate/xbrl/ITC_14022024140851_NOTICE_OF_SHAREHOLDERS_MEETINGS_1054756_14022024020850_WEB.xml,./RE_Download\ITC_14022024140851_NOTICE_OF_SHAREHOLDERS_MEETINGS_1054756_14022024020850_WEB.xml,./RE_Download\ITC_14022024140851_NOTICE_OF_SHAREHOLDERS_MEETINGS_1054756_14022024020850_WEB.txt
ITC,ITC Limited,Shareholders meeting,ITC Limited has informed the Exchange regarding Notice of Postal Ballot,2024-02-14 12:15:57,https://nsearchives.nseindia.com/corporate/ITC_14022024121557_SE.pdf,./RE_Download\ITC_14022024121557_SE.pdf,./RE_Download\ITC_14022024121557_SE.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2024-02-13 17:58:47,https://nsearchives.nseindia.com/corporate/ITC_13022024175847_REISSUE_13022024_SIGNED.pdf,./RE_Download\ITC_13022024175847_REISSUE_13022024_SIGNED.pdf,./RE_Download\ITC_13022024175847_REISSUE_13022024_SIGNED.txt
ITC,ITC Limited,Loss/Duplicate-Share Certificate-XBRL,ITC LIMITED has informed the Exchange about Issue of duplicate share certificates/Letter of Confirmation,2024-02-13 17:53:54,https://nsearchives.nseindia.com/corporate/xbrl/ITC_13022024175354_LOSS_OF_SHARE_1053842_13022024055353_WEB.xml,./RE_Download\ITC_13022024175354_LOSS_OF_SHARE_1053842_13022024055353_WEB.xml,./RE_Download\ITC_13022024175354_LOSS_OF_SHARE_1053842_13022024055353_WEB.txt
ITC,ITC Limited,Analysts/Institutional Investor Meet/Con. Call Updates,ITC Limited has informed the Exchange about Schedule of meet,2024-02-12 18:15:05,https://nsearchives.nseindia.com/corporate/ITC_12022024181505_SE.pdf,./RE_Download\ITC_12022024181505_SE.pdf,./RE_Download\ITC_12022024181505_SE.txt
ITC,ITC Limited,Loss/Duplicate-Share Certificate-XBRL,ITC LIMITED has informed the Exchange about Loss of share certificates,2024-02-09 17:20:47,https://nsearchives.nseindia.com/corporate/xbrl/ITC_09022024172047_LOSS_OF_SHARE_1050015_09022024052046_WEB.xml,./RE_Download\ITC_09022024172047_LOSS_OF_SHARE_1050015_09022024052046_WEB.xml,./RE_Download\ITC_09022024172047_LOSS_OF_SHARE_1050015_09022024052046_WEB.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2024-02-09 17:19:44,https://nsearchives.nseindia.com/corporate/ITC_09022024171945_Loss_09022024_signed.pdf,./RE_Download\ITC_09022024171945_Loss_09022024_signed.pdf,./RE_Download\ITC_09022024171945_Loss_09022024_signed.txt
ITC,ITC Limited,Updates,"ITC Limited has informed the Exchange regarding 'Intimation under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015  '.",2024-02-08 19:19:57,https://nsearchives.nseindia.com/corporate/ITC_08022024191957_SE_Fine_.pdf,./RE_Download\ITC_08022024191957_SE_Fine_.pdf,./RE_Download\ITC_08022024191957_SE_Fine_.txt
ITC,ITC Limited,Loss/Duplicate-Share Certificate-XBRL,ITC LIMITED has informed the Exchange about Loss of share certificates,2024-02-07 17:49:59,https://nsearchives.nseindia.com/corporate/xbrl/ITC_07022024174959_LOSS_OF_SHARE_1047170_07022024054958_WEB.xml,./RE_Download\ITC_07022024174959_LOSS_OF_SHARE_1047170_07022024054958_WEB.xml,./RE_Download\ITC_07022024174959_LOSS_OF_SHARE_1047170_07022024054958_WEB.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2024-02-07 17:49:02,https://nsearchives.nseindia.com/corporate/ITC_07022024174902_LOSS_07FEB2024_SIGNED.pdf,./RE_Download\ITC_07022024174902_LOSS_07FEB2024_SIGNED.pdf,./RE_Download\ITC_07022024174902_LOSS_07FEB2024_SIGNED.txt
ITC,ITC Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ITC Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",2024-02-05 18:38:54,https://nsearchives.nseindia.com/corporate/ITC_05022024183854_MonthlydematrematJan2024.pdf,./RE_Download\ITC_05022024183854_MonthlydematrematJan2024.pdf,./RE_Download\ITC_05022024183854_MonthlydematrematJan2024.txt
