0,1,2,3,4,5,6,7
AEL : Operational Performance – Incubating Businesses,,,,,,,
,,,%,,,,%
Parameters,Q2-23,Q2-24,,Parameters,H1-23,H1-24,
,,,Change,,,,Change
ANIL,,,,,,,
Module Sales,206,630,205%,Module Sales,534,1244,132%
Ecosystem,,,,,,,
,,,%,,,,%
Parameters,Q2-23,Q2-24,,Parameters,H1-23,H1-24,
,,,Change,,,,Change
Pax movement (Mn),16.3,21.4,31%,Pax movement (Mn),33.1,42.7,29%
ATM (‘000),126.9,148.2,17%,ATM (‘000),252.9,289.8,15%
Airports,,,,,,,
Cargo (Lacs MT),2.0,1.9,(5%),Cargo (Lacs MT),4.2,4.4,5%
,,,%,,,,%
Parameters,Q2-23,Q2-24,,Parameters,H1-23,H1-24,
,,,Change,,,,Change
Construction of,,,,Construction of,,,
,86.1,12.5,(85%)#,,209.4,92.3,(56%)#
Roads,,,,,,,
Roads (L-KMs),,,,Roads (L-KMs),,,
,"Incubating Business – [Energy & Utility – ANIL Ecosystem, Adani Connex Data Center,  Transport & Logistics – Adani Airports Holdings Ltd, Adani Road Transport Ltd]",,,,,,
,"Established Business – [Primary Industries – IRM, Commercial Mining, Mining services]",,,,,,
,,,,,,,22
,# Construction in bottom layers are progressing in new projects. Lane Kilometers (L-KMs) shall be achieved on completion of top layer.,,,,,,
