0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
AEL : Primary Industries – Mining Services,,,,,,,,,,,,,,
,Operational Details in MMT,,,,,,,,,,,,,
,,Customer,,Q2-23,,,Q2-24,,,H1-23,,,H1-24,
Mine,State,,,,,,,,,,,,,
,,(Owner),P,,D,P,,D,P,,D,P,,D
PEKB,Chhattisgarh,RRVUNL,1.8,,1.4,2.0,,1.7,5.6,,4.4,4.8,,4.2
Gare Pelma III,Chhattisgarh,CSPGCL,0.9,,0.7,1.0,,0.9,1.8,,1.6,1.4,,1.7
Talabira II & III,Odisha,NLCIL,2.4,,2.4,2.5,,2.5,4.9,,4.9,4.6,,4.6
,,APMDC,,,,,,,,,,,,
Suliyari,Madhya Pradesh,,0.2,,0.2,1.1,,0.6,0.4,,0.4,2.0,,1.5
Kurmitar,Odisha,OMC,0.1,,0.1,0.5,,0.5,0.7,,0.7,0.6,,0.6
,Total,,5.4,,4.8,7.2,,6.2,13.5,,12.0,13.5,,12.6
