Segment,As at Sep-23,As at March-23,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,"Non-CurrentDebt",Current Debt,Total,"Non-CurrentDebt",Current Debt,Total,,
,,"WorkingCapital","Short TermLoan","WorkingCapital","Short TermLoan",,,
IRM,179,685,82,946,907,"1,556",-,"2,464"
Mining Services,641,83,150,874,688,72,150,909
Australia Project,"8,636",-,-,"8,636","9,862",-,156,"10,019"
Shipping,472,-,-,472,508,-,-,508
Oz Renewable,413,-,-,413,421,-,2,423
Defence,77,255,-,331,101,320,-,421
Copper,"1,248",-,162,"1,410",156,-,-,156
Corporate & Others,"2,388",28,"1,503","3,919","1,521",37,256,"1,813"
Airport,"16,441",73,237,"16,752","14,461",36,839,"15,337"
ANIL Ecosystem,"2,995",437,-,"3,432","1,725",760,-,"2,485"
Road,"4,915",-,-,"4,915","3,726",-,59,"3,785"
Total,"38,406","1,561","2,135","42,102","34,076","2,782","1,462","38,320"
,,,,,,,,
Gross Debt,"38,406","3,695","42,102","34,076","4,244","38,320",,
Less : Founder's Debt,"9,296",82,"9,378","10,384",160,"10,544",,
Net External Debt,"29,110","3,614","32,724","23,692","4,084","27,776",,
