Project Model,Project SPV / Location,"Length(KMs)","FinancialClosure","Project CompletionStatus","Concession Period (in Yrs)(Const. + O&M)"
HAM,"Bilaspur Pathrapali Road Pvt Ltd (BPRPL) /Chhattisgarh",53.3,Secured,Operational,2 + 15
,"Suryapet Khammam Road Pvt Ltd (SKRPL) /Telangana",58.6,Secured,Operational,2.5 + 15
,"Mancherial Repallewada Road Pvt Ltd (MRRPL) /Telangana",42.0,Secured,Operational,2 + 15
,"Vijayawada Bypass Project Pvt Ltd (VBPPL) /Andhra Pradesh",17.9,Secured,61%,2.5 + 15
,"Nanasa Pidgaon Road Pvt Ltd (NPRPL) / MadhyaPradesh",47.4,Secured,61%,2 + 15
,Azhiyur Vengalam Road Pvt Ltd (AVRPL) / Kerala,40.8,Secured,37%,2.5 + 15
,"Kodad Khammam Road Pvt Ltd (KKRPL) /Telangana",31.8,Secured,62%,2 + 15
,Badakumari Karki Road Pvt Ltd (BKRPL) / Odisha,47.5,Secured,43%,2.5 + 15
TOT,PRS Tolls Pvt Ltd / Gujarat,49.5,Secured,Operational,0 + 20
BOT,"Panagarh Palsit Road Pvt Ltd (PPRPL) / WestBengal",67.8,Secured,57%,2.5 + 18
Kagal Satara Road Pvt Ltd (KSRPL) / Maharashtra,65.1,Secured,20%,2 + 18,
