Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Concession Period
Project,,,,,
,Project / Location,Capacity,,Project Status,(In Yrs)
Model,,,,,
,,,,,(Const. + O&M)
,Prayagraj Water Pvt Ltd (PWPL) /,326,,,
,Uttar Pradesh,MLD,•,Project Status ~ COD Achieved,2 + 15
HAM,,,,,
,Bhagalpur Waste Water Ltd  (BWWL) /,45,,,
,Bihar,MLD,•,Project Status ~ 53%;,2 + 15
,Shakkar Pench Micro Lift Irrigation,95000,,,
EPC,,,,,
,Project / MP,Ha,•,Project Status ~ Pre-construction activities under progress,6 + 5
