,SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Next_Date,Sentiment
0,ADANIENT,Adani Enterprises Limited,updates, regarding 'transcript of earnings call pertaining to the unaudited financial results of the company for the quarter and nine months ended 31st december 2024. '.,08-Feb-2024 19:07:56,2024-02-08 19:07:56,08-Feb-2024 19:08:03,00:00:07,https://nsearchives.nseindia.com/corporate/ADANIENT_08022024190756_AELIntimationforTranscript01022024.pdf,08-02-2024,3245.60009765625,3245.60009765625,3146.10009765625,3168.60009765625,3168.60009765625,1679004,0.0,0.0,15-02-2024,0
1,ADANIENT,Adani Enterprises Limited,updates," regarding 'disclosure pursuant to regulation 30 of the securities and exchange board of india (listing obligations and disclosure requirements) regulations, 2015'.",08-Feb-2024 19:06:10,2024-02-08 19:06:10,08-Feb-2024 19:06:24,00:00:14,https://nsearchives.nseindia.com/corporate/ADANIENT_08022024190610_AELCPRATING08022024.pdf,08-02-2024,3245.60009765625,3245.60009765625,3146.10009765625,3168.60009765625,3168.60009765625,1679004,0.0,0.0,15-02-2024,0
2,ADANIENT,Adani Enterprises Limited,updates," regarding 'intimation under regulation 39(3) of the sebi (listing obligations and   disclosure requirements) regulations, 2015.'.",05-Feb-2024 19:25:27,2024-02-05 19:25:27,05-Feb-2024 19:25:38,00:00:11,https://nsearchives.nseindia.com/corporate/ADANIENT_05022024192527_IntimationtoSEReg39_3_05022024.pdf,05-02-2024,3170.0,3229.39990234375,3151.449951171875,3173.449951171875,3173.449951171875,2191195,0.0,0.0,12-02-2024,0
3,ADANIENT,Adani Enterprises Limited,updates," regarding 'disclosure pursuant to regulation 30 of the securities and exchange board ofindia (listing obligations and disclosure requirements) regulations, 2015'.",02-Feb-2024 12:56:25,2024-02-02 12:56:25,02-Feb-2024 12:56:29,00:00:04,https://nsearchives.nseindia.com/corporate/ADANIENT_02022024125626_AELGST020224.pdf,02-02-2024,3184.949951171875,3208.5,3140.0,3157.449951171875,3157.449951171875,2708695,0.0,0.0,09-02-2024,0
4,ADANIENT,Adani Enterprises Limited,updates, regarding 'submission of audio recording of analysts/investors  call and presentationpertaining to the unaudited financial results of the company for q3 fy 24'.,01-Feb-2024 21:15:29,2024-02-01 21:15:29,01-Feb-2024 21:15:35,00:00:06,https://nsearchives.nseindia.com/corporate/ADANIENT_01022024211529_AELRECORDINGOFICALL.pdf,01-02-2024,3156.89990234375,3236.949951171875,3083.050048828125,3153.5,3153.5,4686595,0.0,0.0,08-02-2024,0
5,ADANIENT,Adani Enterprises Limited,updates, regarding 'submission of media release and investor presentation on unaudited financial results (standalone and consolidated) for the quarter and nine months ended 31st december 2023.'.,01-Feb-2024 14:14:37,2024-02-01 14:14:37,01-Feb-2024 14:14:43,00:00:06,https://nsearchives.nseindia.com/corporate/ADANIENT_01022024141437_SubmissionofMediaReleaseBM01022024.pdf,01-02-2024,3156.89990234375,3236.949951171875,3083.050048828125,3153.5,3153.5,4686595,0.0,0.0,08-02-2024,0
6,ADANIENT,Adani Enterprises Limited,financial result updates,", the financial results for the period ended december 31, 2023.",01-Feb-2024 14:09:11,2024-02-01 14:09:11,01-Feb-2024 14:09:15,00:00:04,https://nsearchives.nseindia.com/corporate/OutcomeBM01022024_01022024140911.pdf,01-02-2024,3156.89990234375,3236.949951171875,3083.050048828125,3153.5,3153.5,4686595,0.0,0.0,08-02-2024,0
7,ADANIENT,Adani Enterprises Limited,updates," regarding 'disclosure pursuant to regulation 30 of the securities and exchange board ofindia (listing obligations and disclosure requirements) regulations, 2015. '.",31-Jan-2024 08:39:56,2024-01-31 08:39:56,31-Jan-2024 08:40:01,00:00:05,https://nsearchives.nseindia.com/corporate/ADANIENT_31012024083956_AELACXACQ.pdf,31-01-2024,3092.75,3151.699951171875,3072.39990234375,3142.0,3142.0,2671051,0.0,0.0,07-02-2024,0
8,ADANIENT,Adani Enterprises Limited,news verification,"the exchange has sought clarification from adani enterprises limited with respect to recent news item captioned adani enterprises, adani ports, other group stocks rally up to 6%.  the response from the company is attached.",30-Jan-2024 10:03:57,2024-01-30 10:03:57,30-Jan-2024 10:04:01,00:00:04,https://nsearchives.nseindia.com/corporate/ADANIENT_30012024100357_ClarificationAEL29012024.pdf,30-01-2024,3081.0,3129.89990234375,3020.89990234375,3091.10009765625,3091.10009765625,3115506,0.0,0.0,06-02-2024,0
9,ADANIENT,Adani Enterprises Limited,updates," regarding 'intimation for execution of memorandum of understanding ( mou ) byadaniconnex private limited, joint venture of the company'.",25-Jan-2024 19:36:37,2024-01-25 19:36:37,25-Jan-2024 19:36:42,00:00:05,https://nsearchives.nseindia.com/corporate/ADANIENT_25012024193637_AELACXACQ.pdf,25-01-2024,2903.449951171875,2926.35009765625,2804.39990234375,2893.60009765625,2893.60009765625,2601969,0.0,0.0,02-02-2024,1
10,ADANIENT,Adani Enterprises Limited,board meeting intimation, about board meeting to be held on 01-feb-2024 to inter-alia consider and approve the unaudited financial results of the company for the quarterly ended december 2023 .,24-Jan-2024 19:01:09,2024-01-24 19:01:09,24-Jan-2024 19:01:15,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/ADANIENT_24012024190109_PRIOR_INTIMATION_17146_1035295_24012024070109_WEB.xml,24-01-2024,2901.0,2929.10009765625,2871.25,2903.449951171875,2903.449951171875,5807940,0.0,0.0,01-02-2024,1
11,ADANIENT,Adani Enterprises Limited,updates," regarding 'disclosure under regulation 30 of the sebi (listing obligations and disclosure requirements) regulations, 2015 ( sebi listing regulations )   receipt of award'.",12-Jan-2024 18:42:54,2024-01-12 18:42:54,12-Jan-2024 18:43:01,00:00:07,https://nsearchives.nseindia.com/corporate/ADANIENT_12012024184254_DisclosureReg3012012024.pdf,12-01-2024,3096.35009765625,3125.0,3068.199951171875,3104.10009765625,3104.10009765625,1795933,0.0,0.0,19-01-2024,-1
12,ADANIENT,Adani Enterprises Limited,updates," regarding 'certificate under regulation 74(5) of the sebi (depositories and participants) regulations, 2018 for the quarter ended                                      31st december, 2023'.",10-Jan-2024 15:21:22,2024-01-10 15:21:22,10-Jan-2024 15:21:28,00:00:06,https://nsearchives.nseindia.com/corporate/ADANIENT_10012024152122_AEL74531122023.pdf,10-01-2024,3024.0,3112.0,3020.050048828125,3098.199951171875,3098.199951171875,3590297,0.0,0.0,17-01-2024,0
13,ADANIENT,Adani Enterprises Limited,updates," regarding 'disclosure pursuant to regulation 30 of the securities and exchange board of india (listing obligation and disclosure requirements) regulations, 2015.'.",08-Jan-2024 15:43:12,2024-01-08 15:43:12,08-Jan-2024 15:43:17,00:00:05,https://nsearchives.nseindia.com/corporate/ADANIENT_08012024154312_AELMIAL.pdf,08-01-2024,3020.0,3027.0,2952.949951171875,2963.5,2963.5,1849061,0.0,0.0,15-01-2024,0
14,ADANIENT,Adani Enterprises Limited,updates," regarding 'disclosure pursuant to regulation 30 of the securities and exchange board of india (listing obligation and disclosure requirements) regulations, 2015.'.",05-Jan-2024 19:49:41,2024-01-05 19:49:41,05-Jan-2024 19:49:47,00:00:06,https://nsearchives.nseindia.com/corporate/ADANIENT_05012024194941_AELGSTORDER.pdf,05-01-2024,3009.949951171875,3066.89990234375,2981.10009765625,3006.60009765625,3006.60009765625,3219949,0.0,0.0,12-01-2024,0
15,ADANIENT,Adani Enterprises Limited,updates, regarding 'intimation for (i) acquisition of 50.50% stake in ians india private limited and (ii) execution of shareholders' agreement'.,15-Dec-2023 23:37:33,2023-12-15 23:37:33,15-Dec-2023 23:37:39,00:00:06,https://nsearchives.nseindia.com/corporate/ADANIENT_15122023233733_AELINAS.pdf,15-12-2023,2912.050048828125,3000.0,2893.89990234375,2991.800048828125,2991.800048828125,4921484,0.0,0.0,22-12-2023,-1
16,ADANIENT,Adani Enterprises Limited,updates," regarding 'intimation for dilution of stake in atharva advanced systems and technologieslimited, a step down wholly owned subsidiary of the company.'.",14-Dec-2023 19:28:16,2023-12-14 19:28:16,14-Dec-2023 19:28:21,00:00:05,https://nsearchives.nseindia.com/corporate/ADANIENT_14122023192816_AELATHARVAINTIMATION.pdf,14-12-2023,2900.949951171875,2932.949951171875,2887.0,2894.050048828125,2894.050048828125,3224681,0.0,0.0,21-12-2023,0
17,ADANIENT,Adani Enterprises Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,30-Nov-2023 19:04:14,2023-11-30 19:04:14,30-Nov-2023 19:04:19,00:00:05,https://nsearchives.nseindia.com/corporate/xbrl/ADANIENT_30112023190414_CIM_14884_992757_30112023070413_WEB.xml,30-11-2023,2400.050048828125,2409.0,2343.050048828125,2358.550048828125,2358.550048828125,2983879,0.0,0.0,07-12-2023,1
18,ADANIENT,Adani Enterprises Limited,updates," regarding 'disclosure pursuant to regulation 30 of the securities and exchange board ofindia (listing obligation and disclosure requirements) regulations, 2015( sebi listing regulations )'.",22-Nov-2023 17:46:56,2023-11-22 17:46:56,22-Nov-2023 17:47:04,00:00:08,https://nsearchives.nseindia.com/corporate/ADANIENT_22112023174656_AEL171A.pdf,22-11-2023,2205.14990234375,2225.0,2153.5,2172.64990234375,2172.64990234375,1247205,0.0,0.0,30-11-2023,1
19,ADANIENT,Adani Enterprises Limited,updates, regarding 'transcript of earnings call pertaining to the unaudited financial resultsof the company for the quarter and half year ended 30th september2023.'.,08-Nov-2023 19:11:32,2023-11-08 19:11:32,08-Nov-2023 19:11:36,00:00:04,https://nsearchives.nseindia.com/corporate/ADANIENT_08112023191132_AELtranscriptcall.pdf,08-11-2023,2245.300048828125,2298.0,2235.0,2259.949951171875,2259.949951171875,1169180,0.0,0.0,16-11-2023,0
20,ADANIENT,Adani Enterprises Limited,updates, regarding 'submission of audio recording of analysts/investors  call and presentation pertaining to the unaudited financial results of the company for q2 fy 24'.,02-Nov-2023 22:33:10,2023-11-02 22:33:10,02-Nov-2023 22:33:17,00:00:07,https://nsearchives.nseindia.com/corporate/ADANIENT_02112023223310_PPTANDRECORD.pdf,02-11-2023,2247.0,2297.949951171875,2204.199951171875,2215.300048828125,2215.300048828125,2340997,0.0,0.0,09-11-2023,0
