,SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Next_Date,Sentiment
0,AXISBANK,Axis Bank Limited,updates," regarding ''intimation / clarification in relation to petition filed by dr. subramanian swamy before the high court of delhi""",15-Feb-2024 19:15:26,2024-02-15 19:15:26,15-Feb-2024 19:15:30,00:00:04,https://nsearchives.nseindia.com/corporate/AXISBANK_15022024191526_SEIntimationClarification.pdf,15-02-2024,1097.5,1097.550048828125,1069.25,1072.199951171875,1072.199951171875,11780823,0.0,0.0,22-02-2024,0
1,AXISBANK,Axis Bank Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,14-Feb-2024 15:25:48,2024-02-14 15:25:48,14-Feb-2024 15:25:54,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/AXISBANK_14022024152548_CIM_19475_1054901_14022024032548_WEB.xml,14-02-2024,1061.300048828125,1100.9000244140625,1060.550048828125,1096.8499755859375,1096.8499755859375,16609115,0.0,0.0,21-02-2024,0
2,AXISBANK,Axis Bank Limited,appointment," regarding appointment of mr pranam wahi as additional independent director of the company w.e.f. february 15, 2024. upto february 14, 2028 (both days inclusive) subject to approval of shareholders.",14-Feb-2024 11:24:07,2024-02-14 11:24:07,14-Feb-2024 11:24:14,00:00:07,https://nsearchives.nseindia.com/corporate/AXISBANK_14022024112407_AppointmentID.pdf,14-02-2024,1061.300048828125,1100.9000244140625,1060.550048828125,1096.8499755859375,1096.8499755859375,16609115,0.0,0.0,21-02-2024,0
3,AXISBANK,Axis Bank Limited,allotment of securities," regarding allotment of 126139 securities pursuant to esop/esps at its meeting held on january 30, 2024",30-Jan-2024 10:47:02,2024-01-30 10:47:02,30-Jan-2024 10:47:07,00:00:05,https://nsearchives.nseindia.com/corporate/AXISBANK_30012024104702_SignedSe30012024.pdf,30-01-2024,1060.050048828125,1070.449951171875,1050.800048828125,1054.0999755859375,1054.0999755859375,9426983,0.0,0.0,06-02-2024,0
4,AXISBANK,Axis Bank Limited,updates, regarding 'audio recording of earnings call of axis bank limited - q3fy24'.,23-Jan-2024 22:31:28,2024-01-23 22:31:28,23-Jan-2024 22:31:34,00:00:06,https://nsearchives.nseindia.com/corporate/AXISBANK_23012024223128_Audio_RecordingforCirculation.pdf,23-01-2024,1125.9000244140625,1141.5999755859375,1078.800048828125,1089.25,1089.25,18924087,0.0,0.0,31-01-2024,0
5,AXISBANK,Axis Bank Limited,financial result updates,", the financial results for the period ended december 31, 2023.",23-Jan-2024 16:01:24,2024-01-23 16:01:24,23-Jan-2024 16:01:31,00:00:07,https://nsearchives.nseindia.com/corporate/Axisresults_Q3FY24_23012024160124.pdf,23-01-2024,1125.9000244140625,1141.5999755859375,1078.800048828125,1089.25,1089.25,18924087,0.0,0.0,31-01-2024,0
6,AXISBANK,Axis Bank Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,18-Jan-2024 20:37:46,2024-01-18 20:37:46,18-Jan-2024 20:37:55,00:00:09,https://nsearchives.nseindia.com/corporate/xbrl/AXISBANK_18012024203746_CIM_16677_1028121_18012024083746_WEB.xml,18-01-2024,1066.0,1108.75,1066.0,1097.5,1097.5,11473135,0.0,0.0,29-01-2024,0
7,AXISBANK,Axis Bank Limited,cessation," regarding cessation of mrs ketaki bhagwati as independent director of the company w.e.f. january 18, 2024. close of business hours",18-Jan-2024 19:13:20,2024-01-18 19:13:20,18-Jan-2024 19:13:25,00:00:05,https://nsearchives.nseindia.com/corporate/AXISBANK_18012024191320_Stockexchangeintimation_Ketaki.pdf,18-01-2024,1066.0,1108.75,1066.0,1097.5,1097.5,11473135,0.0,0.0,29-01-2024,0
8,AXISBANK,Axis Bank Limited,board meeting intimation, about board meeting to be held on 23-jan-2024 to inter-alia consider and approve the unaudited financial results of the company for the quarterly ended december 2023 .,03-Jan-2024 20:17:23,2024-01-03 20:17:23,03-Jan-2024 20:17:29,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/AXISBANK_03012024201723_PRIOR_INTIMATION_15770_1007470_03012024081723_WEB.xml,03-01-2024,1091.0,1102.5999755859375,1081.300048828125,1098.5999755859375,1098.5999755859375,10225290,0.0,0.0,10-01-2024,0
9,AXISBANK,Axis Bank Limited,allotment of securities," regarding allotment of 370561 securities pursuant to esop/esps at its meeting held on 0 ,",19-Dec-2023 19:46:23,2023-12-19 19:46:23,19-Dec-2023 19:46:29,00:00:06,https://nsearchives.nseindia.com/corporate/AXISBANK_19122023194623_SE19122023_signed.pdf,19-12-2023,1123.800048828125,1126.8499755859375,1114.199951171875,1120.25,1120.25,6824641,0.0,0.0,27-12-2023,0
10,AXISBANK,Axis Bank Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,15-Dec-2023 20:16:24,2023-12-15 20:16:24,15-Dec-2023 20:16:31,00:00:07,https://nsearchives.nseindia.com/corporate/xbrl/AXISBANK_15122023201624_CIM_15225_997832_15122023081624_WEB.xml,15-12-2023,1119.199951171875,1127.8499755859375,1108.5999755859375,1120.3499755859375,1120.3499755859375,12048410,0.0,0.0,22-12-2023,0
11,AXISBANK,Axis Bank Limited,cessation," regarding cessation of mr ashish kotecha as non - executive (nominee of entities affiliated to bain capital) director of the bank w.e.f december 14, 2023.",15-Dec-2023 13:40:37,2023-12-15 13:40:37,15-Dec-2023 13:40:45,00:00:08,https://nsearchives.nseindia.com/corporate/AXISBANK_15122023134037_Ashish_Kotecha.pdf,15-12-2023,1119.199951171875,1127.8499755859375,1108.5999755859375,1120.3499755859375,1120.3499755859375,12048410,0.0,0.0,22-12-2023,0
12,AXISBANK,Axis Bank Limited,shareholders meeting,"axis bank limited has submitted the exchange a copy srutinizers report of  postal ballot. further, the company has informed the exchange regarding voting results.",01-Dec-2023 19:09:39,2023-12-01 19:09:39,01-Dec-2023 19:09:43,00:00:04,https://nsearchives.nseindia.com/corporate/AXISBANK_01122023190939_NSEBSEIntimationPBResults_signed.pdf,01-12-2023,1075.4000244140625,1109.0,1070.199951171875,1104.6500244140625,1104.6500244140625,14428758,0.0,0.0,08-12-2023,0
13,AXISBANK,Axis Bank Limited,updates," regarding 'disclosure under regulation 30 of sebi (listing obligations and disclosure requirements) regulations, 2015'.",17-Nov-2023 11:04:05,2023-11-17 11:04:05,17-Nov-2023 11:04:18,00:00:13,https://nsearchives.nseindia.com/corporate/AXISBANK_17112023110405_AXISBANK_RBI_Penalty.pdf,17-11-2023,1014.9000244140624,1020.0,991.8499755859376,994.3499755859376,994.3499755859376,13268353,0.0,0.0,24-11-2023,0
14,AXISBANK,Axis Bank Limited,updates," regarding 'transcript of earnings call for the quarter and half year ended september 30, 2023'.",30-Oct-2023 20:43:46,2023-10-30 20:43:46,30-Oct-2023 20:43:53,00:00:07,https://nsearchives.nseindia.com/corporate/AXISBANK_30102023204346_Transcript.pdf,30-10-2023,1002.75,1002.75,979.2000122070312,989.2000122070312,989.2000122070312,5270567,0.0,0.0,06-11-2023,0
15,AXISBANK,Axis Bank Limited,shareholders meeting,"axis bank limited has submitted the exchange a copy srutinizers report of  postal ballot. further, the company has informed the exchange regarding voting results.",26-Oct-2023 18:58:01,2023-10-26 18:58:01,26-Oct-2023 18:58:10,00:00:09,https://nsearchives.nseindia.com/corporate/AXISBANK_26102023185802_PBRESULTSNSEBSE26102023.pdf,26-10-2023,956.0,975.0,952.75,972.0499877929688,972.0499877929688,17540495,0.0,0.0,02-11-2023,0
16,AXISBANK,Axis Bank Limited,cessation," regarding cessation of mr rakesh makhija as non-executive (part time) chairman of the company w.e.f. october 26, 2023. close of business hours",26-Oct-2023 17:38:06,2023-10-26 17:38:06,26-Oct-2023 17:38:21,00:00:15,https://nsearchives.nseindia.com/corporate/AXISBANK_26102023173806_NSEBSE_RakeshMakhija.pdf,26-10-2023,956.0,975.0,952.75,972.0499877929688,972.0499877929688,17540495,0.0,0.0,02-11-2023,0
17,AXISBANK,Axis Bank Limited,appointment," regarding appointment of mr munish sharda as executive director of the company w.e.f. november 01, 2023.or (ii) the date of approval of his appointment by reserve bank of india (""rbi""), whichever is later.",26-Oct-2023 17:09:29,2023-10-26 17:09:29,26-Oct-2023 17:09:40,00:00:11,https://nsearchives.nseindia.com/corporate/AXISBANK_26102023170929_NSEBSE_Appointment.pdf,26-10-2023,956.0,975.0,952.75,972.0499877929688,972.0499877929688,17540495,0.0,0.0,02-11-2023,0
18,AXISBANK,Axis Bank Limited,updates, regarding 'audio recording of earnings call of axis bank limited - q2fy24'.,25-Oct-2023 22:36:23,2023-10-25 22:36:23,25-Oct-2023 22:36:31,00:00:08,https://nsearchives.nseindia.com/corporate/AXISBANK_25102023223623_Audio_RecordingforCirculation.pdf,25-10-2023,960.0,974.0,951.4000244140624,955.4500122070312,955.4500122070312,6957048,0.0,0.0,01-11-2023,0
19,AXISBANK,Axis Bank Limited,financial result updates,", the financial results for the period ended september 30, 2023.",25-Oct-2023 16:00:39,2023-10-25 16:00:39,25-Oct-2023 16:00:45,00:00:06,https://nsearchives.nseindia.com/corporate/AxisBank_Q2FY24_25102023160039.pdf,25-10-2023,960.0,974.0,951.4000244140624,955.4500122070312,955.4500122070312,6957048,0.0,0.0,01-11-2023,0
20,AXISBANK,Axis Bank Limited,updates," regarding 'certificate under regulation 74(5) of sebi (depositories and participants) regulations, 2018 for the quarter ended september 30, 2023.'.",12-Oct-2023 21:07:02,2023-10-12 21:07:02,12-Oct-2023 21:07:09,00:00:07,https://nsearchives.nseindia.com/corporate/AXISBANK_12102023210702_74_5_DP.pdf,12-10-2023,1022.0,1031.0,1014.9500122070312,1018.4500122070312,1018.4500122070312,4920222,0.0,0.0,19-10-2023,0
21,AXISBANK,Axis Bank Limited,board meeting intimation, about board meeting to be held on 25-oct-2023 to inter-alia consider and approve the unaudited financial results of the company for the quarterly ended september 2023 .,06-Oct-2023 20:49:28,2023-10-06 20:49:28,06-Oct-2023 20:49:33,00:00:05,https://nsearchives.nseindia.com/corporate/xbrl/AXISBANK_06102023204928_PRIOR_INTIMATION_11296_942015_06102023084927_WEB.xml,06-10-2023,1005.0,1008.0,999.4000244140624,1000.9500122070312,1000.9500122070312,5289753,0.0,0.0,13-10-2023,0
22,AXISBANK,Axis Bank Limited,updates," regarding 'clarification on a media article - axis bank may tap market to raise rs. 10,000 cr via qip.'.",04-Oct-2023 14:31:42,2023-10-04 14:31:42,04-Oct-2023 14:31:54,00:00:12,https://nsearchives.nseindia.com/corporate/AXISBANK_04102023143142_AXISBANK_Media_Clarification.pdf,04-10-2023,1035.3499755859375,1037.0,988.8499755859376,995.5499877929688,995.5499877929688,22584212,0.0,0.0,11-10-2023,0
23,AXISBANK,Axis Bank Limited,updates," regarding 'disclosure under regulation 30 of sebi (listing obligations and disclosure requirements) regulations, 2015'.",13-Sep-2023 14:17:13,2023-09-13 14:17:13,13-Sep-2023 14:17:20,00:00:07,https://nsearchives.nseindia.com/corporate/AXISBANK_13092023141713_ATSL_Disclosure_13092023.pdf,13-09-2023,1002.9500122070312,1017.0,993.7000122070312,1014.4500122070312,1014.4500122070312,12254423,0.0,0.0,21-09-2023,0
