,SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Next_Date,Sentiment
0,BPCL,Bharat Petroleum Corporation Limited,news verification,the exchange has sought clarification from bharat petroleum corporation limited with respect to recent news item captioned bpcl to set up first-ever green hydrogen plant in an indian airport.  the response from the company is attached.,16-Feb-2024 18:04:11,2024-02-16 18:04:11,16-Feb-2024 18:04:17,00:00:06,https://nsearchives.nseindia.com/corporate/BPCL_16022024180411_1stexhlets.pdf,16-02-2024,666.0,687.9500122070312,651.9000244140625,654.5999755859375,654.5999755859375,27872405,0.0,0.0,23-02-2024,-1
1,BPCL,Bharat Petroleum Corporation Limited,press release," regarding a press release dated february 07, 2024, titled ""bpcl s joint venture, pll, renews 20-year partnership with qatar energy, secures 7.5 mmtpa lng for india's energy security"".",07-Feb-2024 21:32:12,2024-02-07 21:32:12,07-Feb-2024 21:32:16,00:00:04,https://nsearchives.nseindia.com/corporate/BPCL_07022024213212_stexchpressrel7224s.pdf,07-02-2024,616.7999877929688,620.0,599.2999877929688,602.0499877929688,602.0499877929688,14395859,0.0,0.0,14-02-2024,0
2,BPCL,Bharat Petroleum Corporation Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,05-Feb-2024 22:37:44,2024-02-05 22:37:44,05-Feb-2024 22:37:51,00:00:07,https://nsearchives.nseindia.com/corporate/xbrl/BPCL_05022024223744_CIM_18640_1045270_05022024103743_WEB.xml,05-02-2024,566.0,588.7999877929688,557.0499877929688,574.75,574.75,22512945,0.0,0.0,12-02-2024,0
3,BPCL,Bharat Petroleum Corporation Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,01-Feb-2024 10:52:13,2024-02-01 10:52:13,01-Feb-2024 10:52:19,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/BPCL_01022024105213_CIM_17905_1041013_01022024105212_WEB.xml,01-02-2024,504.5499877929688,515.2999877929688,499.1000061035156,508.4500122070313,508.4500122070313,7004099,0.0,0.0,08-02-2024,1
4,BPCL,Bharat Petroleum Corporation Limited,financial result updates,", the financial results for the period ended december 31, 2023.",29-Jan-2024 13:37:05,2024-01-29 13:37:05,29-Jan-2024 13:37:09,00:00:04,https://nsearchives.nseindia.com/corporate/1stexchresultsdec23s_29012024133705.pdf,29-01-2024,474.0,501.3999938964844,469.3999938964844,492.6499938964844,492.6499938964844,13934742,0.0,0.0,05-02-2024,1
5,BPCL,Bharat Petroleum Corporation Limited,board meeting intimation, about board meeting to be held on 29-jan-2024 to inter-alia consider and approve the unaudited financial results of the company for the quarterly ended december 2023 .,18-Jan-2024 12:36:27,2024-01-18 12:36:27,18-Jan-2024 12:36:34,00:00:07,https://nsearchives.nseindia.com/corporate/xbrl/BPCL_18012024123627_PRIOR_INTIMATION_16598_1026240_18012024123626_WEB.xml,18-01-2024,467.0,480.8999938964844,461.0,473.2000122070313,473.2000122070313,9901151,0.0,0.0,29-01-2024,0
6,BPCL,Bharat Petroleum Corporation Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,04-Jan-2024 20:53:52,2024-01-04 20:53:52,04-Jan-2024 20:54:03,00:00:11,https://nsearchives.nseindia.com/corporate/xbrl/BPCL_04012024205352_CIM_15803_1008097_04012024085352_WEB.xml,04-01-2024,456.7999877929688,457.5,451.0,452.6499938964844,452.6499938964844,8952458,0.0,0.0,11-01-2024,0
7,BPCL,Bharat Petroleum Corporation Limited,updates, regarding 'intimation under regulation 30 '. in respect of issue of guarantee,29-Dec-2023 07:38:21,2023-12-29 07:38:21,29-Dec-2023 07:38:28,00:00:07,https://nsearchives.nseindia.com/corporate/BPCL_29122023073821_issuanceofguarantee291223s.pdf,29-12-2023,454.5,458.0,448.6499938964844,450.6499938964844,450.6499938964844,8544220,0.0,0.0,05-01-2024,0
8,BPCL,Bharat Petroleum Corporation Limited,trading window," regarding the trading window closure pursuant to sebi (prohibition of insider trading) regulations, 2015",28-Dec-2023 15:18:10,2023-12-28 15:18:10,28-Dec-2023 15:18:23,00:00:13,https://nsearchives.nseindia.com/corporate/BPCL_28122023151810_stexchwindowcldec23s.pdf,28-12-2023,456.0,470.8500061035156,454.75,465.7999877929688,465.7999877929688,22591668,0.0,0.0,04-01-2024,0
9,BPCL,Bharat Petroleum Corporation Limited,updates," regarding 'intimation under regulations 57(1) of sebi (listing obligations & disclosure requirements) regulations, 2015 for payment of interest and principal repayment / redemption '.",15-Dec-2023 17:05:16,2023-12-15 17:05:16,15-Dec-2023 17:05:22,00:00:06,https://nsearchives.nseindia.com/corporate/BPCL_15122023170516_1stexintimationofintpaymentandredemption151223.pdf,15-12-2023,445.0,453.4500122070313,442.2000122070313,449.0,449.0,11039574,0.0,0.0,22-12-2023,0
