,SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Next_Date,Sentiment
0,EICHERMOT,Eicher Motors Limited,press release," regarding a press release dated february 13, 2024, titled ""eicher motors ltd announces financial results for quarter ended december 31, 2023"".",13-Feb-2024 15:51:37,2024-02-13 15:51:37,13-Feb-2024 15:51:49,00:00:12,https://nsearchives.nseindia.com/corporate/EICHERMOT_13022024155137_EMLPressReleaseFebruary132024Signed.pdf,13-02-2024,3894.64990234375,3936.14990234375,3765.449951171875,3854.199951171875,3854.199951171875,633019,0.0,0.0,20-02-2024,0
1,EICHERMOT,Eicher Motors Limited,financial result updates,", the financial results for the period ended december 31, 2023.",13-Feb-2024 14:40:43,2024-02-13 14:40:43,13-Feb-2024 14:40:48,00:00:05,https://nsearchives.nseindia.com/corporate/EMLFinancialResults13022024Signed_13022024144043.pdf,13-02-2024,3894.64990234375,3936.14990234375,3765.449951171875,3854.199951171875,3854.199951171875,633019,0.0,0.0,20-02-2024,0
2,EICHERMOT,Eicher Motors Limited,allotment of securities," regarding allotment of 30130 securities pursuant to esop/esps at its meeting held on february 13, 2024",13-Feb-2024 14:28:00,2024-02-13 14:28:00,13-Feb-2024 14:28:06,00:00:06,https://nsearchives.nseindia.com/corporate/EICHERMOT_13022024142800_EMLIntimationofAllotmentFebruary132024Signed.pdf,13-02-2024,3894.64990234375,3936.14990234375,3765.449951171875,3854.199951171875,3854.199951171875,633019,0.0,0.0,20-02-2024,0
3,EICHERMOT,Eicher Motors Limited,board meeting intimation, about board meeting to be held on 13-feb-2024 to inter-alia consider and approve the unaudited financial results of the company for the quarterly ended december 2023 .,05-Feb-2024 18:52:26,2024-02-05 18:52:26,05-Feb-2024 18:52:32,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/EICHERMOT_05022024185226_PRIOR_INTIMATION_18612_1045103_05022024065225_WEB.xml,05-02-2024,3850.0,3918.39990234375,3837.0,3889.949951171875,3889.949951171875,592181,0.0,0.0,12-02-2024,0
4,EICHERMOT,Eicher Motors Limited,monthly business updates," regarding monthly business updates for the month of january 2024 of ve commercial vehicles limited, an unlisted material subsidiary of eicher motors limited",01-Feb-2024 15:22:18,2024-02-01 15:22:18,01-Feb-2024 15:22:26,00:00:08,https://nsearchives.nseindia.com/corporate/EICHERMOT_01022024152218_VECVJan24salesUpdate1stFeb24Updatedsigned.pdf,01-02-2024,3843.0,3965.85009765625,3843.0,3933.199951171875,3933.199951171875,1313981,0.0,0.0,08-02-2024,0
5,EICHERMOT,Eicher Motors Limited,press release," regarding a press release dated january 08, 2024, titled ""royal enfield signs mou with the government of tamil nadu for proposed investment of rs. 3000 crores for brownfield and greenfield projects in the state"".",08-Jan-2024 18:02:55,2024-01-08 18:02:55,08-Jan-2024 18:03:01,00:00:06,https://nsearchives.nseindia.com/corporate/EICHERMOT_08012024180255_EMLPressReleaseJanuary082024Signed.pdf,08-01-2024,3890.0,3960.39990234375,3877.5,3884.25,3884.25,401263,0.0,0.0,15-01-2024,0
6,EICHERMOT,Eicher Motors Limited,monthly business updates," regarding monthly business updates for the month of december 2023 of ve commercial vehicles limited, an unlisted material subsidiary of eicher motors limited",01-Jan-2024 12:53:58,2024-01-01 12:53:58,01-Jan-2024 12:54:04,00:00:06,https://nsearchives.nseindia.com/corporate/EICHERMOT_01012024125358_VECVDec23salesUpdate1stJan24Updated01012024Signed.pdf,01-01-2024,4145.0,4145.0,4030.0,4038.35009765625,4038.35009765625,763454,0.0,0.0,08-01-2024,0
7,EICHERMOT,Eicher Motors Limited,trading window," regarding the trading window closure pursuant to sebi (prohibition of insider trading) regulations, 2015",26-Dec-2023 15:49:05,2023-12-26 15:49:05,26-Dec-2023 15:49:23,00:00:18,https://nsearchives.nseindia.com/corporate/EICHERMOT_26122023154905_EMLTradingwindowclosureJanuary012024Signed.pdf,26-12-2023,4024.800048828125,4069.64990234375,4012.0,4040.39990234375,4040.39990234375,475107,0.0,0.0,02-01-2024,0
8,EICHERMOT,Eicher Motors Limited,monthly business updates," regarding monthly business updates for the month of november 2023 of ve commercial vehicles limited, an unlisted material subsidiary of eicher motors limited",01-Dec-2023 13:35:38,2023-12-01 13:35:38,01-Dec-2023 13:35:47,00:00:09,https://nsearchives.nseindia.com/corporate/EICHERMOT_01122023133538_VECVNov23salesUpdate1stDec23UpdatedSigned.pdf,01-12-2023,3922.0,3950.0,3882.050048828125,3891.199951171875,3891.199951171875,683211,0.0,0.0,08-12-2023,0
9,EICHERMOT,Eicher Motors Limited,press release," regarding a press release dated november 24, 2023, titled ""press release - november 24, 2023"".",24-Nov-2023 22:02:32,2023-11-24 22:02:32,24-Nov-2023 22:02:42,00:00:10,https://nsearchives.nseindia.com/corporate/EICHERMOT_24112023220232_PressRelease24112023.pdf,24-11-2023,3895.699951171875,3920.0,3842.050048828125,3849.050048828125,3849.050048828125,266314,0.0,0.0,04-12-2023,1
