,SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Next_Date,Sentiment
0,HINDUNILVR,Hindustan Unilever Limited,press release," regarding a press release dated february 14, 2024, titled ""press release dated 14th february,2024"".",14-Feb-2024 18:25:34,2024-02-14 18:25:34,14-Feb-2024 18:25:39,00:00:05,https://nsearchives.nseindia.com/corporate/HINDUNILVR_14022024182534_SEIntimationPressRelease14022024Signed.pdf,14-02-2024,2385.0,2394.0,2370.0,2387.949951171875,2387.949951171875,1397975,0.0,0.0,21-02-2024,0
1,HINDUNILVR,Hindustan Unilever Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,07-Feb-2024 17:48:05,2024-02-07 17:48:05,07-Feb-2024 17:48:19,00:00:14,https://nsearchives.nseindia.com/corporate/xbrl/HINDUNILVR_07022024174805_CIM_18916_1047166_07022024054804_WEB.xml,07-02-2024,2439.89990234375,2439.89990234375,2411.550048828125,2425.449951171875,2425.449951171875,1149076,0.0,0.0,14-02-2024,0
2,HINDUNILVR,Hindustan Unilever Limited,shareholders meeting,intimation of postal ballot notice for introduction and implementation of hindustan unilever limited performance share plan scheme 2024.,02-Feb-2024 16:27:39,2024-02-02 16:27:39,02-Feb-2024 16:27:53,00:00:14,https://nsearchives.nseindia.com/corporate/HINDUNILVR_02022024162739_SEIntimationPBNotice02022024Signed.pdf,02-02-2024,2477.0,2486.89990234375,2442.0,2452.60009765625,2452.60009765625,1956115,0.0,0.0,09-02-2024,0
3,HINDUNILVR,Hindustan Unilever Limited,updates,"intimation of nclt order approving the scheme of amalgamation in respect of ponds exports limited and jamnagar properties private limited with unilever india exports limited, subsidiaries of the company.",01-Feb-2024 17:49:57,2024-02-01 17:49:57,01-Feb-2024 17:50:02,00:00:05,https://nsearchives.nseindia.com/corporate/HINDUNILVR_01022024174957_SEIntimationScheme01022024Signed.pdf,01-02-2024,2475.10009765625,2511.550048828125,2468.35009765625,2473.60009765625,2473.60009765625,1727534,0.0,0.0,08-02-2024,0
4,HINDUNILVR,Hindustan Unilever Limited,updates,tentative schedule of events : postal ballot for introduction and implementation of hindustan unilever limited performance share plan scheme 2024,31-Jan-2024 19:04:00,2024-01-31 19:04:00,31-Jan-2024 19:04:06,00:00:06,https://nsearchives.nseindia.com/corporate/HINDUNILVR_31012024190400_SEIntimationPostalBallotSchedule31012024Signed.pdf,31-01-2024,2450.0,2485.89990234375,2441.75,2481.550048828125,2481.550048828125,1445004,0.0,0.0,07-02-2024,0
5,HINDUNILVR,Hindustan Unilever Limited,analysts/institutional investor meet/con. call updates,"transcript of the earnings call for the quarter ended 31st december, 2023",25-Jan-2024 18:45:35,2024-01-25 18:45:35,25-Jan-2024 18:45:41,00:00:06,https://nsearchives.nseindia.com/corporate/HINDUNILVR_25012024184535_SEIntimationTranscript19012024Signed.pdf,25-01-2024,2454.800048828125,2468.0,2420.199951171875,2428.300048828125,2428.300048828125,2364765,0.0,0.0,02-02-2024,0
6,HINDUNILVR,Hindustan Unilever Limited,updates,"clarification on outcome of the board meeting held on 19th january, 2024",24-Jan-2024 18:04:55,2024-01-24 18:04:55,24-Jan-2024 18:05:01,00:00:06,https://nsearchives.nseindia.com/corporate/HINDUNILVR_24012024180455_SEClarificationOutcomeofBM190124Signed.pdf,24-01-2024,2388.0,2445.89990234375,2367.14990234375,2441.64990234375,2441.64990234375,1551469,0.0,0.0,01-02-2024,0
7,HINDUNILVR,Hindustan Unilever Limited,financial result updates,", the financial results for the period ended december 31, 2023.",19-Jan-2024 19:29:46,2024-01-19 19:29:46,19-Jan-2024 19:29:48,00:00:02,https://nsearchives.nseindia.com/corporate/seiNTIMATIONoUTCOME19012024Signed_19012024192946.pdf,19-01-2024,2565.0,2573.949951171875,2532.0,2565.39990234375,2565.39990234375,1323064,0.0,0.0,30-01-2024,0
8,HINDUNILVR,Hindustan Unilever Limited,acquisition,acquisition of equity shares of transition sustainable energy services one private limited,18-Jan-2024 22:14:03,2024-01-18 22:14:03,18-Jan-2024 22:14:08,00:00:05,https://nsearchives.nseindia.com/corporate/HINDUNILVR_18012024221403_SEIntimationBrookfieldSigningofAgreement18012024.pdf,18-01-2024,2570.0,2570.0,2537.550048828125,2548.0,2548.0,1273095,0.0,0.0,29-01-2024,0
9,HINDUNILVR,Hindustan Unilever Limited,analysts/institutional investor meet/con. call updates,"intimation of earnings conference call for the quarter ended 31st december, 2023",12-Jan-2024 16:48:10,2024-01-12 16:48:10,12-Jan-2024 16:48:16,00:00:06,https://nsearchives.nseindia.com/corporate/HINDUNILVR_12012024164810_SEIntimationEarningsCall19012024Signed1.pdf,12-01-2024,2533.5,2555.0,2511.85009765625,2544.0,2544.0,2979841,0.0,0.0,19-01-2024,0
10,HINDUNILVR,Hindustan Unilever Limited,copy of newspaper publication,submission of newspaper publication for outcome of postal ballot for appointment of mr. tarun bajaj as independent director of the company,12-Jan-2024 16:20:48,2024-01-12 16:20:48,12-Jan-2024 16:20:55,00:00:07,https://nsearchives.nseindia.com/corporate/HINDUNILVR_12012024162049_SEIntimationOutcomeAD.pdf,12-01-2024,2533.5,2555.0,2511.85009765625,2544.0,2544.0,2979841,0.0,0.0,19-01-2024,0
