,SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Next_Date,Sentiment
0,LT,Larsen & Toubro Limited,press release," regarding a press release dated february 13, 2024, titled ""l&t wins (significant*) orders for hydrocarbon business"".",13-Feb-2024 10:36:38,2024-02-13 10:36:38,13-Feb-2024 10:36:43,00:00:05,https://nsearchives.nseindia.com/corporate/LT_13022024103638_PressRelease13022024.pdf,13-02-2024,3312.0,3338.550048828125,3284.10009765625,3321.5,3321.5,2151493,0.0,0.0,20-02-2024,0
1,LT,Larsen & Toubro Limited,press release," regarding a press release dated february 07, 2024, titled ""l&t construction wins orders (large*) for powertransmission & distribution business"".",07-Feb-2024 10:21:30,2024-02-07 10:21:30,07-Feb-2024 10:21:36,00:00:06,https://nsearchives.nseindia.com/corporate/LT_07022024102130_Pressrelease07022024.pdf,07-02-2024,3445.0,3447.0,3389.0,3394.699951171875,3394.699951171875,2099940,0.0,0.0,14-02-2024,0
2,LT,Larsen & Toubro Limited,press release," regarding a press release dated february 06, 2024, titled ""l&t construction secures (large*) order for itstransportation infrastructure business (ti)"".",06-Feb-2024 10:26:58,2024-02-06 10:26:58,06-Feb-2024 10:27:04,00:00:06,https://nsearchives.nseindia.com/corporate/LT_06022024102658_PressRelease06022024.pdf,06-02-2024,3346.0,3427.75,3337.550048828125,3424.25,3424.25,2545192,0.0,0.0,13-02-2024,0
3,LT,Larsen & Toubro Limited,press release (revised)," regarding a revised press release dated february 05, 2024, titled ""l&t wins (large*) contract for hydrocarbonbusiness - revised"".",05-Feb-2024 13:00:11,2024-02-05 13:00:11,05-Feb-2024 13:00:30,00:00:19,https://nsearchives.nseindia.com/corporate/LT_05022024130011_PressRelease05022024Revised.pdf,05-02-2024,3375.5,3407.949951171875,3318.449951171875,3341.75,3341.75,2954238,0.0,0.0,12-02-2024,0
4,LT,Larsen & Toubro Limited,press release," regarding a press release dated february 05, 2024, titled ""l&t wins (large*) contract for hydrocarbonbusiness"".",05-Feb-2024 10:13:11,2024-02-05 10:13:11,05-Feb-2024 10:13:15,00:00:04,https://nsearchives.nseindia.com/corporate/LT_05022024101311_PressRelease05022024.pdf,05-02-2024,3375.5,3407.949951171875,3318.449951171875,3341.75,3341.75,2954238,0.0,0.0,12-02-2024,0
5,LT,Larsen & Toubro Limited,financial result updates,", the financial results for the period ended december 31, 2023.",30-Jan-2024 17:59:55,2024-01-30 17:59:55,30-Jan-2024 18:00:00,00:00:05,https://nsearchives.nseindia.com/corporate/ResultDec2023_30012024175955.pdf,30-01-2024,3715.949951171875,3737.89990234375,3624.89990234375,3633.300048828125,3633.300048828125,1454989,0.0,0.0,06-02-2024,-1
6,LT,Larsen & Toubro Limited,press release," regarding a press release dated january 30, 2024, titled ""l&t construction wins a mega epc order forestablishing largest renewable generation plant inunited arab emirates"".",30-Jan-2024 10:07:58,2024-01-30 10:07:58,30-Jan-2024 10:08:04,00:00:06,https://nsearchives.nseindia.com/corporate/LT_30012024100758_PressRelease30012024.pdf,30-01-2024,3715.949951171875,3737.89990234375,3624.89990234375,3633.300048828125,3633.300048828125,1454989,0.0,0.0,06-02-2024,-1
7,LT,Larsen & Toubro Limited,press release," regarding a press release dated january 23, 2024, titled ""l&t heavy engineering wins multiple orders(significant*)"".",23-Jan-2024 10:12:34,2024-01-23 10:12:34,23-Jan-2024 10:12:39,00:00:05,https://nsearchives.nseindia.com/corporate/LT_23012024101234_PressRelease23012024.pdf,23-01-2024,3637.60009765625,3661.35009765625,3536.199951171875,3551.0,3551.0,1742142,0.0,0.0,31-01-2024,0
8,LT,Larsen & Toubro Limited,shareholders meeting,"larsen & toubro limited has submitted the exchange a copy srutinizers report of  postal ballot. further, the company has informed the exchange regarding voting results.",18-Jan-2024 20:26:12,2024-01-18 20:26:12,18-Jan-2024 20:26:19,00:00:07,https://nsearchives.nseindia.com/corporate/LT_18012024202612_FinalVotingResultsandScrutinizersReport.pdf,18-01-2024,3570.800048828125,3616.949951171875,3525.0,3596.0,3596.0,2148898,0.0,0.0,29-01-2024,0
9,LT,Larsen & Toubro Limited,press release," regarding a press release dated january 17, 2024, titled ""l&t construction wins (significant*) orders for its buildings & factories business "".",17-Jan-2024 10:05:18,2024-01-17 10:05:18,17-Jan-2024 10:05:22,00:00:04,https://nsearchives.nseindia.com/corporate/LT_17012024100518_Pressrelease17012024.pdf,17-01-2024,3555.0,3614.449951171875,3547.699951171875,3570.949951171875,3570.949951171875,2699076,0.0,0.0,25-01-2024,0
10,LT,Larsen & Toubro Limited,board meeting intimation, about board meeting to be held on 30-jan-2024 to inter-alia consider and approve the unaudited financial results of the company for the quarterly ended december 2023 .,16-Jan-2024 13:04:03,2024-01-16 13:04:03,16-Jan-2024 13:04:09,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/LT_16012024130403_PRIOR_INTIMATION_16428_1022392_16012024010403_WEB.xml,16-01-2024,3548.0,3589.0,3538.0,3573.5,3573.5,1791818,0.0,0.0,24-01-2024,0
11,LT,Larsen & Toubro Limited,press release," regarding a press release dated january 16, 2024, titled ""l&t construction railway business group awarded (mega*) order to build electrification system works for the mumbai ahmedabad high speed rail project"".",16-Jan-2024 10:56:50,2024-01-16 10:56:50,16-Jan-2024 10:56:58,00:00:08,https://nsearchives.nseindia.com/corporate/LT_16012024105650_Pressrelease16012024.pdf,16-01-2024,3548.0,3589.0,3538.0,3573.5,3573.5,1791818,0.0,0.0,24-01-2024,0
12,LT,Larsen & Toubro Limited,updates," regarding 'disclosure under regulation 30 of the sebi (listing obligations and disclosure requirements) regulations, 2015 '.",10-Jan-2024 19:46:33,2024-01-10 19:46:33,10-Jan-2024 19:46:38,00:00:05,https://nsearchives.nseindia.com/corporate/LT_10012024194633_Reg30disclosure_10012024.pdf,10-01-2024,3549.949951171875,3558.949951171875,3520.0,3545.5,3545.5,1534821,0.0,0.0,17-01-2024,0
