,SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Next_Date,Sentiment
0,ONGC,Oil & Natural Gas Corporation Limited,financial result updates,", the financial results for the period ended december 31, 2023.",12-Feb-2024 15:41:11,2024-02-12 15:41:11,12-Feb-2024 15:41:16,00:00:05,https://nsearchives.nseindia.com/corporate/coverSD_12022024154111.pdf,12-02-2024,261.95001220703125,266.6000061035156,256.79998779296875,257.8999938964844,254.17984008789065,30906374,0.0,0.0,19-02-2024,1
1,ONGC,Oil & Natural Gas Corporation Limited,updates, regarding 'compliance for payment of interest and redemption of principal amount (4.50% ncds - isin: ine213a08040) (security code: 960406)'.,09-Feb-2024 17:28:52,2024-02-09 17:28:52,09-Feb-2024 17:28:57,00:00:05,https://nsearchives.nseindia.com/corporate/ONGC_09022024172852_confirfationinterestandredemption.pdf,09-02-2024,275.0,275.6499938964844,259.1499938964844,267.54998779296875,263.6906433105469,26743792,0.0,0.0,16-02-2024,0
2,ONGC,Oil & Natural Gas Corporation Limited,revised record date,"due to change in date of board meeting i.e. 10.02.2024, the record date has also been revised to 17.02.2024 for declaration of 2nd interim dividend, if any.",02-Feb-2024 12:38:33,2024-02-02 12:38:33,02-Feb-2024 12:38:39,00:00:06,https://nsearchives.nseindia.com/corporate/ONGC_02022024123833_BMreschedule.pdf,02-02-2024,250.0,260.0,249.0,257.25,253.53921508789065,30482663,0.0,0.0,09-02-2024,0
3,ONGC,Oil & Natural Gas Corporation Limited,board meeting intimation, about board meeting to be held on 10-feb-2024 to consider and approve the quarterly unaudited financial results of the company for the period ended december 2023 and dividend.,02-Feb-2024 12:31:52,2024-02-02 12:31:52,02-Feb-2024 12:31:58,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/ONGC_02022024123152_PRIOR_INTIMATION_18130_1042327_02022024123151_WEB.xml,02-02-2024,250.0,260.0,249.0,257.25,253.53921508789065,30482663,0.0,0.0,09-02-2024,0
4,ONGC,Oil & Natural Gas Corporation Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,01-Feb-2024 15:41:20,2024-02-01 15:41:20,01-Feb-2024 15:41:26,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/ONGC_01022024154120_CIM_17970_1041398_01022024034119_WEB.xml,01-02-2024,254.6499938964844,254.6499938964844,245.4499969482422,247.6499938964844,244.07769775390625,29758133,0.0,0.0,08-02-2024,1
5,ONGC,Oil & Natural Gas Corporation Limited,board meeting intimation, about board meeting to be held on 13-feb-2024 to consider and approve the quarterly unaudited financial results of the company for the period ended december 2023 and dividend.,23-Jan-2024 18:49:24,2024-01-23 18:49:24,23-Jan-2024 18:49:28,00:00:04,https://nsearchives.nseindia.com/corporate/xbrl/ONGC_23012024184924_PRIOR_INTIMATION_17002_1034143_23012024064924_WEB.xml,23-01-2024,245.0,245.6499938964844,228.0,229.8999938964844,226.583724975586,20282617,0.0,0.0,31-01-2024,1
6,ONGC,Oil & Natural Gas Corporation Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,23-Jan-2024 17:40:39,2024-01-23 17:40:39,23-Jan-2024 17:40:48,00:00:09,https://nsearchives.nseindia.com/corporate/xbrl/ONGC_23012024174039_CIM_16975_1033973_23012024054038_WEB.xml,23-01-2024,245.0,245.6499938964844,228.0,229.8999938964844,226.583724975586,20282617,0.0,0.0,31-01-2024,1
7,ONGC,Oil & Natural Gas Corporation Limited,outcome of board meeting,"the board has, inter-alia, accorded approval for the following business items:1. formation of wholly owned subsidiary for green energy and gas business with the proposed name 'ongc green limited""; and2. formation of a joint venture company.",23-Jan-2024 13:55:08,2024-01-23 13:55:08,23-Jan-2024 13:55:12,00:00:04,https://nsearchives.nseindia.com/corporate/ONGC_23012024135508_BM23012024SD.pdf,23-01-2024,245.0,245.6499938964844,228.0,229.8999938964844,226.583724975586,20282617,0.0,0.0,31-01-2024,1
8,ONGC,Oil & Natural Gas Corporation Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,23-Jan-2024 11:15:28,2024-01-23 11:15:28,23-Jan-2024 11:15:34,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/ONGC_23012024111528_CIM_16914_1033436_23012024111527_WEB.xml,23-01-2024,245.0,245.6499938964844,228.0,229.8999938964844,226.583724975586,20282617,0.0,0.0,31-01-2024,1
9,ONGC,Oil & Natural Gas Corporation Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,18-Jan-2024 16:56:59,2024-01-18 16:56:59,18-Jan-2024 16:57:04,00:00:05,https://nsearchives.nseindia.com/corporate/xbrl/ONGC_18012024165659_CIM_16639_1027194_18012024045658_WEB.xml,18-01-2024,230.0500030517578,234.5,224.6499938964844,233.5500030517578,230.1810913085937,19232183,0.0,0.0,29-01-2024,1
10,ONGC,Oil & Natural Gas Corporation Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,12-Jan-2024 12:30:12,2024-01-12 12:30:12,12-Jan-2024 12:30:17,00:00:05,https://nsearchives.nseindia.com/corporate/xbrl/ONGC_12012024123012_CIM_16214_1017807_12012024123011_WEB.xml,12-01-2024,213.8000030517578,224.75,212.3500061035156,223.3999938964844,220.177490234375,39228118,0.0,0.0,19-01-2024,1
11,ONGC,Oil & Natural Gas Corporation Limited,press release," regarding a press release dated january 09, 2024, titled ""ongc videsh incorporates wholly owned subsidiary in gift city"".",09-Jan-2024 23:49:12,2024-01-09 23:49:12,09-Jan-2024 23:49:19,00:00:07,https://nsearchives.nseindia.com/corporate/ONGC_09012024234912_Final09012024.pdf,09-01-2024,221.0,221.4499969482422,215.9499969482422,216.6499938964844,213.5248565673828,11951525,0.0,0.0,16-01-2024,1
