,SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Next_Date,Sentiment
0,UPL,UPL Limited,press release," regarding a press release dated february 02, 2024, titled ""upl ltd - q3 & 9m fy24 results update"".",02-Feb-2024 16:45:14,2024-02-02 16:45:14,02-Feb-2024 16:45:26,00:00:12,https://nsearchives.nseindia.com/corporate/UPL_02022024164514_PressRelease.pdf,02-02-2024,533.9000244140625,540.6500244140625,529.25,533.6500244140625,533.6500244140625,4224992,0.0,0.0,09-02-2024,-1
1,UPL,UPL Limited,financial result updates,", the financial results for the period ended december 31, 2023.",02-Feb-2024 16:41:20,2024-02-02 16:41:20,02-Feb-2024 16:41:25,00:00:05,https://nsearchives.nseindia.com/corporate/Results_02022024164120.pdf,02-02-2024,533.9000244140625,540.6500244140625,529.25,533.6500244140625,533.6500244140625,4224992,0.0,0.0,09-02-2024,-1
2,UPL,UPL Limited,board meeting intimation, about board meeting to be held on 02-feb-2024 to inter-alia consider and approve the unaudited financial results of the company for the quarterly ended december 2023 .,24-Jan-2024 16:31:56,2024-01-24 16:31:56,24-Jan-2024 16:32:04,00:00:08,https://nsearchives.nseindia.com/corporate/xbrl/UPL_24012024163156_PRIOR_INTIMATION_17100_1034876_24012024043156_WEB.xml,24-01-2024,539.9000244140625,547.0,535.0999755859375,545.75,545.75,1386191,0.0,0.0,01-02-2024,0
3,UPL,UPL Limited,trading window," regarding the trading window closure pursuant to sebi (prohibition of insider trading) regulations, 2015",29-Dec-2023 17:02:38,2023-12-29 17:02:38,29-Dec-2023 17:02:42,00:00:04,https://nsearchives.nseindia.com/corporate/UPL_29122023170238_Tradingwindow.pdf,29-12-2023,592.0,592.0,585.0499877929688,587.25,587.25,2223633,0.0,0.0,05-01-2024,0
4,UPL,UPL Limited,outcome of board meeting,"outcome of the meeting of the board of directors of upl limited (the  company ) held onfriday, 22nd december, 2023 and intimation pursuant to regulation 30 of the securities andexchange board of india (listing obligations and disclosure requirements) regulations, 2015, asamended ( sebi listing regulations )",22-Dec-2023 18:27:28,2023-12-22 18:27:28,22-Dec-2023 18:27:33,00:00:05,https://nsearchives.nseindia.com/corporate/UPL_22122023182728_UPLOutcomeofBM.pdf,22-12-2023,581.0,585.75,577.4000244140625,581.6500244140625,581.6500244140625,2464945,0.0,0.0,01-01-2024,0
5,UPL,UPL Limited,rights issue,"outcome of the meeting of the board of directors of upl limited (the  company ) held onfriday, 22nd december, 2023 and intimation pursuant to regulation 30 of the securities andexchange board of india (listing obligations and disclosure requirements) regulations, 2015, asamended ( sebi listing regulations )",22-Dec-2023 18:23:54,2023-12-22 18:23:54,22-Dec-2023 18:24:00,00:00:06,https://nsearchives.nseindia.com/corporate/UPL_22122023182354_UPLOutcomeofBM.pdf,22-12-2023,581.0,585.75,577.4000244140625,581.6500244140625,581.6500244140625,2464945,0.0,0.0,01-01-2024,0
6,UPL,UPL Limited,board meeting intimation, about board meeting to be held on 22-dec-2023 to consider fund raising.,19-Dec-2023 21:34:43,2023-12-19 21:34:43,19-Dec-2023 21:34:49,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/UPL_19122023213443_PRIOR_INTIMATION_15278_999094_19122023093442_WEB.xml,19-12-2023,607.0,612.0,597.8499755859375,598.75,598.75,2396755,0.0,0.0,27-12-2023,0
7,UPL,UPL Limited,press release," regarding a press release dated december 13, 2023, titled "" upl included in dow jones sustainability worldand emerging markets indices"".",13-Dec-2023 09:14:57,2023-12-13 09:14:57,13-Dec-2023 09:15:01,00:00:04,https://nsearchives.nseindia.com/corporate/UPL_13122023091457_pressrelease.pdf,13-12-2023,601.0,602.7000122070312,592.7999877929688,599.3499755859375,599.3499755859375,2110586,0.0,0.0,20-12-2023,0
8,UPL,UPL Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,15-Nov-2023 19:57:24,2023-11-15 19:57:24,15-Nov-2023 19:57:31,00:00:07,https://nsearchives.nseindia.com/corporate/xbrl/UPL_15112023195725_CIM_14601_988995_15112023075724_WEB.xml,15-11-2023,557.0,564.75,556.3499755859375,561.7999877929688,561.7999877929688,1766163,0.0,0.0,22-11-2023,0
9,UPL,UPL Limited,press release," regarding a press release dated october 30, 2023, titled ""q2 results"".",30-Oct-2023 14:53:41,2023-10-30 14:53:41,30-Oct-2023 14:53:54,00:00:13,https://nsearchives.nseindia.com/corporate/UPL_30102023145341_Press_Release.pdf,30-10-2023,560.0,563.2000122070312,531.9000244140625,538.6500244140625,538.6500244140625,7164172,0.0,0.0,06-11-2023,0
10,UPL,UPL Limited,financial result updates,", the financial results for the period ended september 30, 2023.",30-Oct-2023 14:42:47,2023-10-30 14:42:47,30-Oct-2023 14:42:51,00:00:04,https://nsearchives.nseindia.com/corporate/Results_30102023144247.pdf,30-10-2023,560.0,563.2000122070312,531.9000244140625,538.6500244140625,538.6500244140625,7164172,0.0,0.0,06-11-2023,0
11,UPL,UPL Limited,board meeting intimation, about board meeting to be held on 30-oct-2023 to inter-alia consider and approve the unaudited financial results of the company for the half yearly ended september 2023 .,20-Oct-2023 13:17:03,2023-10-20 13:17:03,20-Oct-2023 13:17:08,00:00:05,https://nsearchives.nseindia.com/corporate/xbrl/UPL_20102023131703_PRIOR_INTIMATION_12046_962322_20102023011702_WEB.xml,20-10-2023,613.0,613.0,602.0,603.4500122070312,603.4500122070312,1174201,0.0,0.0,30-10-2023,-1
12,UPL,UPL Limited,acquisition, about incorporation of a step-down wholly owned subsidiary in sri lanka,03-Oct-2023 18:51:19,2023-10-03 18:51:19,03-Oct-2023 18:51:25,00:00:06,https://nsearchives.nseindia.com/corporate/UPL_03102023185119_UPLLANKA.pdf,03-10-2023,615.9500122070312,615.9500122070312,606.0499877929688,607.0,607.0,2407302,0.0,0.0,10-10-2023,0
13,UPL,UPL Limited,trading window," regarding the trading window closure pursuant to sebi (prohibition of insider trading) regulations, 2015",29-Sep-2023 15:18:02,2023-09-29 15:18:02,29-Sep-2023 15:18:06,00:00:04,https://nsearchives.nseindia.com/corporate/UPL_29092023151802_TradingWindowClosure30092023.pdf,29-09-2023,614.0,621.5,609.25,616.25,616.25,2002347,0.0,0.0,09-10-2023,0
14,UPL,UPL Limited,updates," regarding 'disclosure under regulation 30 read with schedule iii part a para a clause 20 of the sebi (listing obligations and disclosure requirements) regulations, 2015'.",12-Sep-2023 23:32:55,2023-09-12 23:32:55,12-Sep-2023 23:33:11,00:00:16,https://nsearchives.nseindia.com/corporate/UPL_12092023233255_Letter12092023.pdf,12-09-2023,621.9500122070312,622.3499755859375,602.3499755859375,604.5,604.5,2923292,0.0,0.0,20-09-2023,0
15,UPL,UPL Limited,acquisition, about incorporation of a subsidiary in kenya namely - asi seeds enterprises kenya limited.,07-Sep-2023 14:50:48,2023-09-07 14:50:48,07-Sep-2023 14:50:55,00:00:07,https://nsearchives.nseindia.com/corporate/UPL_07092023145048_ASIKenyaincorporation.pdf,07-09-2023,609.2999877929688,615.9000244140625,607.0499877929688,612.2999877929688,612.2999877929688,3079054,0.0,0.0,14-09-2023,0
16,UPL,UPL Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,18-Aug-2023 21:47:34,2023-08-18 21:47:34,18-Aug-2023 21:47:46,00:00:12,https://nsearchives.nseindia.com/corporate/xbrl/UPL_18082023214734_CIM_9725_920806_18082023094733_WEB.xml,18-08-2023,584.0,587.6500244140625,576.9500122070312,578.4500122070312,578.4500122070312,2394208,0.0,0.0,25-08-2023,0
17,UPL,UPL Limited,shareholders meeting,"upl limited has submitted the exchange a copy srutinizers report of  annual general meeting held on august 18, 2023. further, the company has informed the exchange regarding voting results.",18-Aug-2023 21:29:18,2023-08-18 21:29:18,18-Aug-2023 21:29:32,00:00:14,https://nsearchives.nseindia.com/corporate/UPL_18082023212918_UPL_AGM_Results.pdf,18-08-2023,584.0,587.6500244140625,576.9500122070312,578.4500122070312,578.4500122070312,2394208,0.0,0.0,25-08-2023,0
18,UPL,UPL Limited,shareholders meeting," regarding proceedings of annual general meeting held on august 18, 2023",18-Aug-2023 17:15:10,2023-08-18 17:15:10,18-Aug-2023 17:15:42,00:00:32,https://nsearchives.nseindia.com/corporate/UPL_18082023171510_UPLAGMOutcome.pdf,18-08-2023,584.0,587.6500244140625,576.9500122070312,578.4500122070312,578.4500122070312,2394208,0.0,0.0,25-08-2023,0
19,UPL,UPL Limited,updates," regarding 'disclosure under regulation 30(4) of the sebi (listing obligations and disclosure requirements) regulations, 2015'.",17-Aug-2023 11:32:09,2023-08-17 11:32:09,17-Aug-2023 11:32:27,00:00:18,https://nsearchives.nseindia.com/corporate/UPL_17082023113210_Reg30DisclosureMaterialevents.pdf,17-08-2023,589.0,591.2999877929688,584.0,584.9500122070312,584.9500122070312,1816344,0.0,0.0,24-08-2023,0
20,UPL,UPL Limited,press release," regarding a press release dated july 31, 2023, titled ""press release"".",31-Jul-2023 14:51:06,2023-07-31 14:51:06,31-Jul-2023 14:51:31,00:00:25,https://nsearchives.nseindia.com/corporate/UPL_31072023145107_Press_Release.pdf,31-07-2023,625.0,631.0,621.0,624.7000122070312,614.6103515625,5257210,0.0,0.0,07-08-2023,0
21,UPL,UPL Limited,financial result updates,", the financial results for the period ended june 30, 2023.",31-Jul-2023 14:48:28,2023-07-31 14:48:28,31-Jul-2023 14:48:36,00:00:08,https://nsearchives.nseindia.com/corporate/Results_31072023144828.pdf,31-07-2023,625.0,631.0,621.0,624.7000122070312,614.6103515625,5257210,0.0,0.0,07-08-2023,0
22,UPL,UPL Limited,shareholders meeting," regarding notice of annual general meeting to be held on august 18, 2023",27-Jul-2023 21:12:16,2023-07-27 21:12:16,27-Jul-2023 21:12:29,00:00:13,https://nsearchives.nseindia.com/corporate/UPL_27072023211216_UPLANNUALREPORT.pdf,27-07-2023,634.2000122070312,637.2999877929688,625.2999877929688,626.75,616.6272583007812,1822820,0.0,0.0,03-08-2023,0
23,UPL,UPL Limited,board meeting intimation, about board meeting to be held on 31-jul-2023 to inter-alia consider and approve the unaudited financial results of the company for the quarterly ended june 2023 .,24-Jul-2023 12:23:29,2023-07-24 12:23:29,24-Jul-2023 12:23:45,00:00:16,https://nsearchives.nseindia.com/corporate/xbrl/UPL_24072023122329_PRIOR_INTIMATION_7500_898772_24072023122329_WEB.xml,24-07-2023,637.7999877929688,637.7999877929688,630.7000122070312,632.1500244140625,621.9400634765625,1626647,0.0,0.0,31-07-2023,0
24,UPL,UPL Limited,shareholders meeting,"upl limited has submitted the exchange a copy srutinizers report of  extraordinary general meeting held on july 20, 2023. further, the company has informed the exchange regarding voting results.",20-Jul-2023 19:54:52,2023-07-20 19:54:52,20-Jul-2023 19:55:02,00:00:10,https://nsearchives.nseindia.com/corporate/UPL_20072023195452_UPL_EGM_Voting_Results_20072023.pdf,20-07-2023,642.0,643.7000122070312,637.0,639.4000244140625,629.0729370117188,2365174,0.0,0.0,27-07-2023,0
25,UPL,UPL Limited,shareholders meeting," regarding proceedings of extraordinary general meeting held on july 20, 2023",20-Jul-2023 16:35:44,2023-07-20 16:35:44,20-Jul-2023 16:36:01,00:00:17,https://nsearchives.nseindia.com/corporate/UPL_20072023163544_EGM_Outcome.pdf,20-07-2023,642.0,643.7000122070312,637.0,639.4000244140625,629.0729370117188,2365174,0.0,0.0,27-07-2023,0
